Tenant,Location,Address,City,State,Ownership,Contact,Phone,Email,Notes
United Rentals,Tucson AZ (Trench Safety - Prince),1770 W Prince Rd,Tucson,AZ,,,,,
United Rentals,Phoenix AZ (Fluid Solutions - N 52nd),840 N 52nd Ave,Phoenix,AZ,,,,,
United Rentals,Overland Park KS (S Rogers),11615 S Rogers Rd,Overland Park,KS,,,,,
United Rentals,Commerce City CO (Power & HVAC - Washington),6400 Washington St,Commerce City,CO,,,,,
United Rentals,Amarillo TX (Avenue B),3102 Avenue B,Amarillo,TX,,,,,
United Rentals,Phoenix AZ (Trench Safety - W 3rd),503 W 3rd Ave,Phoenix,AZ,,,,,
United Rentals,North Las Vegas NV (Storage - Industry Center),4680 Industry Center Dr,North Las Vegas,NV,,,,,
United Rentals,Phoenix AZ (Power & HVAC - Winslow),3820 E Winslow Ave,Phoenix,AZ,,,,,
United Rentals,Denver CO (Fluid Solutions - E 58th),2033 E 58th Ave,Denver,CO,,,,,
United Rentals,Salt Lake City UT (Fluid Solutions - Prosperity),9901 S Prosperity Rd,Salt Lake City,UT,,,,,
United Rentals,Tucson AZ (Power & HVAC - Station Master),4221 Station Master Dr,Tucson,AZ,,,,,
United Rentals,Albuquerque NM (Power & HVAC - University),2800 University Blvd NE,Albuquerque,NM,,,,,
United Rentals,Fort Collins CO (Fluid Solutions - Technology),698 Technology Cir,Fort Collins,CO,,,,,
United Rentals,Salt Lake City UT (Commercial Truck - Redwood),2101 N Redwood Rd,Salt Lake City,UT,,,,,
United Rentals,Dumas TX (Fluid Solutions - Cedar),2400 S Cedar St,Dumas,TX,,,,,
United Rentals,Abilene TX (Austin),2225 Austin St,Abilene,TX,,,,,
United Rentals,Salt Lake City UT (Power & HVAC - Pioneer),1551 Pioneer Rd,Salt Lake City,UT,,,,,
United Rentals,Salt Lake City UT (Comm & Industrial Blinds - W 1730 S),5575 W 1730 S,Salt Lake City,UT,,,,,
United Rentals,Wichita Falls TX (Southwest Pkwy),6230 Southwest Pkwy,Wichita Falls,TX,,,,,
United Rentals,Lake Charles LA (Lake Charles Hwy),11832 Lake Charles Hwy,Lake Charles,LA,,,,,
United Rentals,Lubbock TX (Trench Safety - Frankford),4103 Frankford Ave,Lubbock,TX,,,,,
United Rentals,Sherman TX (US-82),117 W US Hwy 82,Sherman,TX,,,,,
United Rentals,Denver CO (Climate Solutions - Oakland),3250 Oakland St # C,Denver,CO,,,,,
United Rentals,Fort Worth TX (Electrical - Capital),1401 Capital Dr,Fort Worth,TX,,,,,
United Rentals,Las Vegas NV (Aerial - Andrews),4533 Andrews St Suite A,Las Vegas,NV,,,,,
United Rentals,Abilene TX (Treadaway),1766 S Treadaway Blvd,Abilene,TX,,,,,
United Rentals,Tempe AZ (Climate Solutions - Campus),2026 W Campus Dr,Tempe,AZ,,,,,
United Rentals,Columbia MO (Paris Rd),3215 Paris Rd,Columbia,MO,,,,,
United Rentals,Phoenix AZ (Storage - S 20th),2700 S 20th Ave,Phoenix,AZ,,,,,
United Rentals,Omaha NE (Trench Safety - S 135th),8616 S 135th St,Omaha,NE,,,,,
United Rentals,Fort Worth TX (Tin Top),2201 Tin Top Rd Suite 400,Fort Worth,TX,,,,,
United Rentals,Dallas TX (IH-45 Service Rd),905 S Ih, 45 N Fwy Service Rd,Dallas,TX,,,,
United Rentals,Norman OK (N Interstate),2900 N Interstate Dr,Norman,OK,,,,,
United Rentals,Oklahoma City OK (Fluid Solutions - Sunnylane),13220 S Sunnylane Rd,Oklahoma City,OK,,,,,
United Rentals,Colorado Springs CO (Trench Safety - Valley),955 Valley St,Colorado Springs,CO,,,,,
United Rentals,Odessa TX (Power & HVAC - County Rd 74),11007 W County Rd 74,Odessa,TX,,,,,
United Rentals,Buckeye AZ (W MC 85),26301 W MC 85,Buckeye,AZ,,,,,
United Rentals,Salina KS (N Santa Fe),929 N Santa Fe Ave,Salina,KS,,,,,
United Rentals,Omaha NE (Reliable Onsite - Edward Babe Gomez),2625 Edward Babe Gomez Ave,Omaha,NE,,,,,
United Rentals,Phoenix AZ (Commercial Truck - Black Canyon),1835 S Black Canyon Hwy,Phoenix,AZ,,,,,
United Rentals,Kansas City MO (Trench Safety - Manchester Trafficway),3505 Manchester Trafficway,Kansas City,MO,,,,,
United Rentals,Shreveport LA (Dallas),846 Dallas Ave,Shreveport,LA,,,,,
United Rentals,Las Vegas NV (Climate Solutions - Andrews),4533 Andrews St Ste B,Las Vegas,NV,,,,,
United Rentals,Denton TX (Aerial - Stemmons),400 N Stemmons Fwy,Denton,TX,,,,,
United Rentals,Kansas City MO (Flooring & Facility - E Front),4120 E Front St,Kansas City,MO,,,,,
United Rentals,Denver CO (Radio & Communications - E 56th),5710 E 56th Ave Unit C,Denver,CO,,,,,
United Rentals,Denver CO (Reliable Onsite - N 5th),995 N 5th Ave,Denver,CO,,,,,
United Rentals,El Paso TX (Trench Safety - Gail Borden),1301 Gail Borden Pl,El Paso,TX,,,,,
United Rentals,Brighton CO (Storage - Brighton),10250 Brighton Rd,Brighton,CO,,,,,
United Rentals,Hays KS (Vine),1100 Vine St,Hays,KS,,,,,
United Rentals,Las Vegas NV (Customer Equipment Solutions - Bonanza),2100 W Bonanza Rd,Las Vegas,NV,,,,,
United Rentals,Waco TX (Woodway),6935 Woodway Dr,Waco,TX,,,,,
United Rentals,Duncanville TX (Hwy 67),320 Hwy 67,Duncanville,TX,,,,,
United Rentals,Dallas TX (S Loop 12),1350 S Loop 12,Dallas,TX,,,,,
United Rentals,Fort Worth TX (Loop 820),5930 E Loop 820 S,Fort Worth,TX,,,,,
United Rentals,Henderson TX (US-79),767 US-79,Henderson,TX,,,,,
United Rentals,Corsicana TX (W 7th),1615 W 7th Ave,Corsicana,TX,,,,,
United Rentals,Ardmore OK (W Broadway),3417 W Broadway St,Ardmore,OK,,,,,
United Rentals,Lufkin TX (Ellen Trout),3500 Ellen Trout Dr,Lufkin,TX,,,,,
United Rentals,Arlington TX (Randol Mill),3000 E Randol Mill Rd,Arlington,TX,,,,,
United Rentals,Shreveport LA (Sterling),198 Sterling Ave,Shreveport,LA,,,,,
United Rentals,Tyler TX (NE Loop 323),3300 N NE Loop 323,Tyler,TX,,,,,
United Rentals,Lake Charles LA (Cities Service),3301 Cities Service Hwy,Lake Charles,LA,,,,,
United Rentals,San Antonio TX (Wurzbach),5120 Wurzbach Rd,San Antonio,TX,,,,,
United Rentals,Victoria TX (Navarro),12104 N Navarro St,Victoria,TX,,,,,
United Rentals,San Antonio TX (North Loop),12017 N North Loop Rd,San Antonio,TX,,,,,
United Rentals,Tomball TX (TX-249),23710 TX-249,Tomball,TX,,,,,
United Rentals,Seguin TX (TX-123),1476 TX-123,Seguin,TX,,,,,
United Rentals,Dodge City KS (N 14th),307 N 14th Ave,Dodge City,KS,,,,,
United Rentals,Arlington TX (Fluid Solutions - S Cooper),7818 S Cooper St,Arlington,TX,,,,,
United Rentals,Salt Lake City UT (Storage - S Commerce),4315 S Commerce Dr #3,Salt Lake City,UT,,,,,
United Rentals,Oklahoma City OK (Climate Solutions - S Vermont),2600 S Vermont Ave,Oklahoma City,OK,,,,,
United Rentals,Colorado Springs CO (Reliable Onsite - Valley),1490 Valley St,Colorado Springs,CO,,,,,
United Rentals,North Las Vegas NV (Trench Safety - Marco),2930 Marco St Suite B,North Las Vegas,NV,,,,,
United Rentals,Albuquerque NM (Trench Safety - Broadway),4510 Broadway Blvd SE,Albuquerque,NM,,,,,
United Rentals,Fort Worth TX (Trench Safety - Avenue D),3421 Avenue D,Fort Worth,TX,,,,,
United Rentals,Dallas TX (Westmoreland),2728 N Westmoreland Rd,Dallas,TX,,,,,
United Rentals,Phoenix AZ (Reliable Onsite - E Washington),3266 E Washington St,Phoenix,AZ,,,,,
United Rentals,Springdale AR (Storage - Old Missouri),1609 N Old Missouri Rd Ste R,Springdale,AR,,,,,
United Rentals,Kansas City MO (Storage - Chouteau),511 N Chouteau Blvd,Kansas City,MO,,,,,
United Rentals,Park City KS (Storage - Hartman Arena),8431 N Hartman Arena Dr,Park City,KS,,,,,
United Rentals,Odessa TX (Storage - County Rd 1180),2636 County Rd 1180,Odessa,TX,,,,,
United Rentals,Plymouth MN (Fernbrook),2340 Fernbrook Ln N,Plymouth,MN,,,,,
United Rentals,Burnsville MN (Hwy 13 W),3750 Hwy 13 W,Burnsville,MN,,,,,
United Rentals,Saint Paul MN (Verderosa),587 Verderosa Ave,Saint Paul,MN,,,,,
United Rentals,Bloomington MN (Trench Safety - Xenwood),12488 Xenwood Ave,Bloomington,MN,,,,,
United Rentals,Bloomington MN (Fluid Solutions - Ideal),9450 Ideal Ave S,Bloomington,MN,,,,,
United Rentals,Woodbury MN (Tool Solutions - Hudson),6740 Hudson Blvd,Woodbury,MN,,,,,
United Rentals,Saint Cloud MN (28th Ave),141 28th Ave S,Saint Cloud,MN,,,,,
United Rentals,Rochester MN (37th St),500 37th St NE,Rochester,MN,,,,,
United Rentals,Mankato MN (Mabel),301 W Mabel St,Mankato,MN,,,,,
United Rentals,Saint Paul MN (Flooring & Facility - Hardman),555 Hardman Ave S,Saint Paul,MN,,,,,
United Rentals,Virginia MN (16th Ave E),1226 16th Ave E,Virginia,MN,,,,,
United Rentals,Blaine MN (Trailer Leasing - Xylite),10250 Xylite St NE,Blaine,MN,,,,,
United Rentals,Saint Paul MN (Reliable Onsite - Spruce),3101 Spruce St,Saint Paul,MN,,,,,
